"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"2726","Public relations and fundraising managers","51","21","29",56.5,"41.1","48153","2013","48153","some.college..no.degree",3.5,"hs-college"
"2727","Public relations specialists","109","41","68",152,"37.4","27-3031","2013","27-303","some.college..no.degree",14.44,"hs-college"
"2728","Purchasing managers","181","92","89",201,"47.5","424353","2013","424353","some.college..no.degree",36.98,"hs-college"
"2729","Rail-track laying and maintenance equipment operators","16","16","0",11.5,"–","47-4061","2013","47-406","some.college..no.degree",3.05,"hs-college"
"2730","Railroad conductors and yardmasters","46","43","3",51,"39","53-4031","2013","53-403","some.college..no.degree",19.18,"hs-college"
"2731","Receptionists and information clerks","901","73","828",1281.5,"37.6","43-4171","2013","43-417","some.college..no.degree",436.99,"hs-college"
"2732","Refuse and recyclable material collectors","75","74","1",107,"41.1","53-7081","2013","53-708","some.college..no.degree",17.98,"hs-college"
"2733","Registered nurses","2278","254","2023",2883.5,"44.2","29-1141","2013","29-114","some.college..no.degree",155.71,"hs-college"
"2734","Religious workers, all other","34","17","17",71.5,"47.1","21-2099","2013","21-209","some.college..no.degree",12.8,"hs-college"
"2735","Reservation and transportation ticket agents and travel clerks","100","46","54",118,"44.2","43-4181","2013","43-418","some.college..no.degree",39.88,"hs-college"
"2736","Residential advisors","32","13","18",49,"–","39-9041","2013","39-904","some.college..no.degree",15.93,"hs-college"
"2737","Retail salespersons","1829","1092","737",3285.5,"34.700000000000003","41-2031","2013","41-203","some.college..no.degree",946.22,"hs-college"
"2738","Roofers","133","133","0",199.5,"37.299999999999997","47-2181","2013","47-218","some.college..no.degree",21.95,"hs-college"
"2739","Sales engineers","33","29","4",31.5,"–","41-9031","2013","41-903","some.college..no.degree",4.09,"hs-college"
"2740","Sales representatives, services, all other","348","242","106",444.5,"42.1","41-3099","2013","41-309","some.college..no.degree",115.13,"hs-college"
"2741","Sawing machine setters, operators, and tenders, wood","25","23","2",31.5,"–","51-7041","2013","51-704","some.college..no.degree",4.03,"hs-college"
"2742","Securities, commodities, and financial services sales agents","219","145","75",279,"41.7","41-3031","2013","41-303","some.college..no.degree",45.2,"hs-college"
"2743","Sewing machine operators","121","29","91",162,"48","51-6031","2013","51-603","some.college..no.degree",17.17,"hs-college"
"2744","Sheet metal workers","100","93","7",118,"43.2","47-2211","2013","47-221","some.college..no.degree",32.45,"hs-college"
"2745","Shipping, receiving, and traffic clerks","493","342","151",545,"41.1","43-5071","2013","43-507","some.college..no.degree",142.79,"hs-college"
"2746","Social and community service managers","280","94","185",323.5,"47.5","2648679","2013","264867","some.college..no.degree",46.91,"hs-college"
"2747","Stationary engineers and boiler operators","90","84","5",106,"48.6","51-8021","2013","51-802","some.college..no.degree",32.54,"hs-college"
"2748","Statistical assistants","18","8","10",28,"–","43-9111","2013","43-911","some.college..no.degree",8.34,"hs-college"
"2749","Stock clerks and order fillers","918","596","321",1480.5,"35.200000000000003","43-5081","2013","43-508","some.college..no.degree",371.61,"hs-college"
"2750","Structural iron and steel workers","38","38","0",57,"–","47-2221","2013","47-222","some.college..no.degree",13.85,"hs-college"
"2751","Structural metal fabricators and fitters","21","21","0",24,"–","51-2041","2013","51-204","some.college..no.degree",5.69,"hs-college"
"2752","Surveying and mapping technicians","48","43","5",65.5,"44.7","17-3031","2013","17-303","some.college..no.degree",24.82,"hs-college"
"2753","Switchboard operators, including answering service","22","6","16",33.5,"–","43-2011","2013","43-201","some.college..no.degree",11.86,"hs-college"
"2754","Tax examiners and collectors, and revenue agents","62","19","43",71,"45.6","13-2081","2013","13-208","some.college..no.degree",18.53,"hs-college"
"2755","Taxi drivers and chauffeurs","202","172","30",337,"49.2","53-3041","2013","53-304","some.college..no.degree",80.88,"hs-college"
"2756","Teacher assistants","571","70","501",908,"44.8","25-9041","2013","25-904","some.college..no.degree",263.32,"hs-college"
"2757","Telemarketers","49","18","32",95,"31.3","41-9041","2013","41-904","some.college..no.degree",31.35,"hs-college"
"2758","Telephone operators","20","3","17",35.5,"–","43-2021","2013","43-202","some.college..no.degree",13.13,"hs-college"
"2759","Tellers","265","36","229",374.5,"30.9","43-3071","2013","43-307","some.college..no.degree",124.33,"hs-college"
"2760","Tool and die makers","55","55","1",54.5,"51.1","51-4111","2013","51-411","some.college..no.degree",18.75,"hs-college"
"2761","Training and development managers","33","16","17",35,"–","449919","2013","449919","some.college..no.degree",5.95,"hs-college"
"2762","Training and development specialists","109","47","62",122.5,"42.5","13-1151","2013","13-115","some.college..no.degree",29.03,"hs-college"
"2763","Transportation attendants, except flight attendants","30","14","16",37.5,"–","53-6061","2013","53-606","some.college..no.degree",9.94,"hs-college"
"2764","Transportation inspectors","41","35","6",40.5,"–","53-6051","2013","53-605","some.college..no.degree",13.65,"hs-college"
"2765","Transportation, storage, and distribution managers","252","194","58",275.5,"45.8","428005","2013","428005","some.college..no.degree",70.53,"hs-college"
"2766","Travel agents","42","10","32",75,"53.2","41-3041","2013","41-304","some.college..no.degree",23.32,"hs-college"
"2767","Urban and regional planners","20","12","7",24,"–","19-3051","2013","19-305","some.college..no.degree",1.03,"hs-college"
"2768","Ushers, lobby attendants, and ticket takers","9","4","5",41,"–","39-3031","2013","39-303","some.college..no.degree",9.59,"hs-college"
"2769","Veterinarians","41","18","23",86,"46.8","29-1131","2013","29-113","some.college..no.degree",0,"hs-college"
"2770","Waiters and waitresses","883","325","558",2124,"26.2","35-3031","2013","35-303","some.college..no.degree",605.34,"hs-college"
"2771","Water and wastewater treatment plant and system operators","68","64","4",70,"49.8","51-8031","2013","51-803","some.college..no.degree",24.15,"hs-college"
"2772","Weighers, measurers, checkers, and samplers, recordkeeping","74","37","37",79,"46.5","43-5111","2013","43-511","some.college..no.degree",20.22,"hs-college"
"2773","Accountants and auditors","1464","618","846",1789.5,"43.2","13-2011","2015","13-201","some.college..no.degree",144.95,"hs-college"
"2774","Actors","12","8","4",41.5,"–","27-2011","2015","27-201","some.college..no.degree",7.68,"hs-college"
"2775","Actuaries","24","18","6",27,"–","15-2011","2015","15-201","some.college..no.degree",0.32,"hs-college"
"2776","Adhesive bonding machine operators and tenders","9","5","4",10.5,"–","51-9191","2015","51-919","some.college..no.degree",2.29,"hs-college"
"2777","Administrative services managers","170","96","73",128.5,"49.4","406090","2015","406090","some.college..no.degree",35.34,"hs-college"
"2778","Advertising and promotions managers","55","29","26",64,"40.299999999999997","40848","2015","40848","some.college..no.degree",7.94,"hs-college"
"2779","Advertising sales agents","161","78","83",234,"39.299999999999997","41-3011","2015","41-301","some.college..no.degree",49.61,"hs-college"
"2780","Aerospace engineers","140","122","18",131.5,"45.1","17-2011","2015","17-201","some.college..no.degree",8.81,"hs-college"
"2781","Agents and business managers of artists, performers, and athletes","27","13","14",53,"37","13-1011","2015","13-101","some.college..no.degree",10.6,"hs-college"
"2782","Agricultural and food science technicians","28","21","7",30,"–","19-4011","2015","19-401","some.college..no.degree",9.18,"hs-college"
"2783","Agricultural inspectors","12","7","6",14,"–","45-2011","2015","45-201","some.college..no.degree",3.33,"hs-college"
"2784","Aircraft mechanics and service technicians","133","125","7",157.5,"47.5","49-3011","2015","49-301","some.college..no.degree",61.9,"hs-college"
"2785","Aircraft structure, surfaces, rigging, and systems assemblers","15","11","4",18.5,"–","51-2011","2015","51-201","some.college..no.degree",5.16,"hs-college"
"2786","Ambulance drivers and attendants, except emergency medical technicians","18","14","4",18.5,"–","53-3011","2015","53-301","some.college..no.degree",6.62,"hs-college"
"2787","Animal control workers","4","2","2",11,"–","33-9011","2015","33-901","some.college..no.degree",4.39,"hs-college"
"2788","Animal trainers","26","19","8",40,"–","39-2011","2015","39-201","some.college..no.degree",10.68,"hs-college"
"2789","Appraisers and assessors of real estate","42","21","21",95.5,"49.9","13-2021","2015","13-202","some.college..no.degree",24.45,"hs-college"
"2790","Architectural and engineering managers","110","101","10",120.5,"49.7","2608503","2015","260850","some.college..no.degree",8.19,"hs-college"
"2791","Atmospheric and space scientists","8","8","1",14.5,"–","19-2021","2015","19-202","some.college..no.degree",0.94,"hs-college"
"2792","Audiologists","8","1","6",15,"–","29-1181","2015","29-118","some.college..no.degree",0.34,"hs-college"
"2793","Automotive and watercraft service attendants","63","58","5",93,"27.3","53-6031","2015","53-603","some.college..no.degree",22.04,"hs-college"
"2794","Automotive body and related repairers","120","118","2",154,"43.2","49-3021","2015","49-302","some.college..no.degree",27.87,"hs-college"
"2795","Avionics technicians","4","4","0",12,"–","49-2091","2015","49-209","some.college..no.degree",4.03,"hs-college"
"2796","Bakers","150","69","80",203,"39.1","51-3011","2015","51-301","some.college..no.degree",42.43,"hs-college"
"2797","Barbers","46","33","12",118,"41.2","39-5011","2015","39-501","some.college..no.degree",33.75,"hs-college"
"2798","Bartenders","252","110","142",414.5,"31.3","35-3011","2015","35-301","some.college..no.degree",141.76,"hs-college"
"2799","Bill and account collectors","152","54","98",191.5,"39.4","43-3011","2015","43-301","some.college..no.degree",68.94,"hs-college"
"2800","Billing and posting clerks","406","39","366",486,"44","43-3021","2015","43-302","some.college..no.degree",160.87,"hs-college"
"2801","Biological technicians","20","10","10",20,"–","19-4021","2015","19-402","some.college..no.degree",4.72,"hs-college"
"2802","Boilermakers","21","21","0",20.5,"–","47-2011","2015","47-201","some.college..no.degree",5.37,"hs-college"
"2803","Bookkeeping, accounting, and auditing clerks","769","87","682",1254.5,"50","43-3031","2015","43-303","some.college..no.degree",471.69,"hs-college"
"2804","Brokerage clerks","3","1","1",3.5,"–","43-4011","2015","43-401","some.college..no.degree",0.84,"hs-college"
"2805","Budget analysts","44","17","28",58.5,"43.8","13-2031","2015","13-203","some.college..no.degree",7.66,"hs-college"
"2806","Bus and truck mechanics and diesel engine specialists","327","327","0",316,"41.7","49-3031","2015","49-303","some.college..no.degree",79.63,"hs-college"
"2807","Business operations specialists, all other","186","74","112",223,"43.7","13-1199","2015","13-119","some.college..no.degree",37.46,"hs-college"
"2808","Buyers and purchasing agents, farm products","11","9","2",13.5,"–","13-1021","2015","13-102","some.college..no.degree",2.46,"hs-college"
"2809","Cabinetmakers and bench carpenters","40","38","2",46,"–","51-7011","2015","51-701","some.college..no.degree",8.92,"hs-college"
"2810","Cargo and freight agents","20","12","9",26.5,"–","43-5011","2015","43-501","some.college..no.degree",9.2,"hs-college"
"2811","Carpenters","802","792","10",1193.5,"42.2","47-2031","2015","47-203","some.college..no.degree",231.54,"hs-college"
"2812","Chefs and head cooks","340","285","55",414,"38.5","35-1011","2015","35-101","some.college..no.degree",89.42,"hs-college"
"2813","Chemical engineers","79","69","10",66,"44.7","17-2041","2015","17-204","some.college..no.degree",2.44,"hs-college"
"2814","Chemical technicians","75","43","32",65.5,"45.3","19-4031","2015","19-403","some.college..no.degree",17.49,"hs-college"
"2815","Childcare workers","407","14","393",1272,"37.700000000000003","39-9011","2015","39-901","some.college..no.degree",342.17,"hs-college"
"2816","Chiropractors","22","15","7",58,"44.4","29-1011","2015","29-101","some.college..no.degree",0.46,"hs-college"
"2817","Civil engineers","316","275","41",359,"43.6","17-2051","2015","17-205","some.college..no.degree",21.18,"hs-college"
"2818","Cleaners of vehicles and equipment","222","200","22",331.5,"31.1","53-7061","2015","53-706","some.college..no.degree",56.69,"hs-college"
"2819","Clergy","376","316","60",409,"51.8","21-2011","2015","21-201","some.college..no.degree",47.04,"hs-college"
