"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"905","Business operations specialists, all other
 Show/hide Example Job Titles","13-1199",991.8,1065.2,73.4,7.4,209.4,"65120.0","High school diploma or equivalent","None","None","2012"
"906","Business teachers, postsecondary
 Show/hide Example Job Titles","25-1011",103.4,118.5,15.2,14.7,30.7,"73660.0","Doctoral or professional degree","None","None","2012"
"907","Butchers and meat cutters
 Show/hide Example Job Titles","51-3021",136.7,143.2,6.5,4.8,40.2,"28490.0","Less than high school","None","Long-term on-the-job training","2012"
"908","Buyers and purchasing agents, farm products
 Show/hide Example Job Titles","13-1021",14.2,15,0.8,5.9,3.5,"55720.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"909","Cabinetmakers and bench carpenters
 Show/hide Example Job Titles","51-7011",86.2,89.7,3.5,4.1,10.4,"30980.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"910","Camera and photographic equipment repairers
 Show/hide Example Job Titles","49-9061",3.1,3.2,0.1,3.3,1,"37980.0","Associate's degree","None","Long-term on-the-job training","2012"
"911","Camera operators, television, video, and motion picture
 Show/hide Example Job Titles","27-4031",21.4,22.6,1.2,5.5,2.8,"40300.0","Bachelor's degree","None","None","2012"
"912","Captains, mates, and pilots of water vessels
 Show/hide Example Job Titles","53-5021",35.4,40.2,4.9,13.8,21.3,"66150.0","Bachelor's degree","None","None","2012"
"913","Cardiovascular technologists and technicians
 Show/hide Example Job Titles","29-2031",51.6,67.3,15.7,30.4,23,"52070.0","Associate's degree","None","None","2012"
"914","Career/technical education teachers, middle school
 Show/hide Example Job Titles","25-2023",18.2,19.1,0.9,5.2,4.9,"54220.0","Bachelor's degree","Less than 5 years","Internship/residency","2012"
"915","Career/technical education teachers, secondary school
 Show/hide Example Job Titles","25-2032",85.4,89.7,4.3,5,27.5,"55160.0","Bachelor's degree","Less than 5 years","Internship/residency","2012"
"916","Cargo and freight agents
 Show/hide Example Job Titles","43-5011",79.5,91,11.5,14.5,33,"39720.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"917","Carpenters
 Show/hide Example Job Titles","47-2031",901.2,1119.4,218.2,24.2,329.2,"39940.0","High school diploma or equivalent","None","Apprenticeship","2012"
"918","Carpet installers
 Show/hide Example Job Titles","47-2041",36.7,39.9,3.2,8.7,9.8,"36740.0","Less than high school","None","Short-term on-the-job training","2012"
"919","Cartographers and photogrammetrists
 Show/hide Example Job Titles","17-1021",12.1,14.5,2.4,19.6,4.9,"57440.0","Bachelor's degree","None","None","2012"
"920","Cashiers
 Show/hide Example Job Titles","41-2011",3338.9,3425.4,86.5,2.6,1530,"18970.0","Less than high school","None","Short-term on-the-job training","2012"
"921","Cement masons and concrete finishers
 Show/hide Example Job Titles","47-2051",140.8,181.8,41,29.1,57.2,"35760.0","Less than high school","None","Moderate-term on-the-job training","2012"
"922","Chefs and head cooks
 Show/hide Example Job Titles","35-1011",115.4,121.5,6,5.2,24.7,"42480.0","High school diploma or equivalent","5 years or more","None","2012"
"923","Chemical engineers
 Show/hide Example Job Titles","17-2041",33.3,34.8,1.5,4.5,9.2,"94350.0","Bachelor's degree","None","None","2012"
"924","Chemical equipment operators and tenders
 Show/hide Example Job Titles","51-9011",56.4,51.7,-4.7,-8.3,19.7,"47100.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"925","Chemical plant and system operators
 Show/hide Example Job Titles","51-8091",38.3,33.9,-4.4,-11.5,14.2,"54390.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"926","Chemical technicians
 Show/hide Example Job Titles","19-4031",63.6,69.5,6,9.4,21.6,"42920.0","Associate's degree","None","Moderate-term on-the-job training","2012"
"927","Chemistry teachers, postsecondary
 Show/hide Example Job Titles","25-1052",25.3,28.8,3.5,13.7,7.3,"71140.0","Doctoral or professional degree","None","None","2012"
"928","Chemists
 Show/hide Example Job Titles","19-2031",87.9,92.9,5,5.6,27.8,"71770.0","Bachelor's degree","None","None","2012"
"929","Chief executives
 Show/hide Example Job Titles","11-1011",330.5,347.9,17.4,5.3,87.8,"168140.0","Bachelor's degree","5 years or more","None","2012"
"930","Child, family, and school social workers
 Show/hide Example Job Titles","21-1021",285.7,328.8,43.1,15.1,103.6,"41530.0","Bachelor's degree","None","None","2012"
"931","Childcare workers
 Show/hide Example Job Titles","39-9011",1312.7,1496.8,184.1,14,570,"19510.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"932","Chiropractors
 Show/hide Example Job Titles","29-1011",44.4,50.9,6.5,14.6,15.2,"66160.0","Doctoral or professional degree","None","None","2012"
"933","Choreographers
 Show/hide Example Job Titles","27-2032",10.2,12.7,2.5,24.3,5.4,"38120.0","High school diploma or equivalent","5 years or more","Long-term on-the-job training","2012"
"934","Civil engineering technicians
 Show/hide Example Job Titles","17-3022",73.1,73.6,0.4,0.6,15.6,"47560.0","Associate's degree","None","None","2012"
"935","Civil engineers
 Show/hide Example Job Titles","17-2051",272.9,326.6,53.7,19.7,120.1,"79340.0","Bachelor's degree","None","None","2012"
"936","Claims adjusters, examiners, and investigators
 Show/hide Example Job Titles","13-1031",297.6,309.1,11.5,3.9,80.3,"59960.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"937","Cleaners of vehicles and equipment
 Show/hide Example Job Titles","53-7061",325.2,361.2,35.9,11.1,126.3,"19850.0","Less than high school","None","Short-term on-the-job training","2012"
"938","Cleaning, washing, and metal pickling equipment operators and tenders
 Show/hide Example Job Titles","51-9192",16,15.9,-0.1,-0.6,3.8,"26210.0","Less than high school","None","Moderate-term on-the-job training","2012"
"939","Clergy
 Show/hide Example Job Titles","21-2011",239.6,263.2,23.6,9.8,72.6,"44060.0","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"940","Clinical, counseling, and school psychologists
 Show/hide Example Job Titles","19-3031",145.1,161.5,16.4,11.3,55.9,"67650.0","Doctoral or professional degree","None","Internship/residency","2012"
"941","Coaches and scouts
 Show/hide Example Job Titles","27-2022",243.9,280.1,36.2,14.8,108.5,"28360.0","Bachelor's degree","None","None","2012"
"942","Coating, painting, and spraying machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9121",83.8,84.2,0.4,0.5,15.7,"30530.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"943","Coil winders, tapers, and finishers
 Show/hide Example Job Titles","51-2021",14.4,12.9,-1.5,-10.5,1.7,"30840.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"944","Coin, vending, and amusement machine servicers and repairers
 Show/hide Example Job Titles","49-9091",40.9,40,-0.9,-2.1,4.1,"31150.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"945","Combined food preparation and serving workers, including fast food
 Show/hide Example Job Titles","35-3021",2969.3,3391.2,421.9,14.2,1555.7,"18260.0","Less than high school","None","Short-term on-the-job training","2012"
"946","Commercial and industrial designers
 Show/hide Example Job Titles","27-1021",39.2,40.9,1.7,4.4,12.1,"59610.0","Bachelor's degree","None","None","2012"
"947","Commercial divers
 Show/hide Example Job Titles","49-9092",3.6,4.7,1.1,29.4,1.9,"46880.0","Postsecondary non-degree award","None","Moderate-term on-the-job training","2012"
"948","Commercial pilots
 Show/hide Example Job Titles","53-2012",37.6,41.2,3.6,9.4,14.4,"73280.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"949","Communications equipment operators, all other
 Show/hide Example Job Titles","43-2099",3,3.2,0.1,4.6,0.9,"40250.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"950","Communications teachers, postsecondary
 Show/hide Example Job Titles","25-1122",36.5,41.2,4.7,12.7,10.1,"62180.0","Doctoral or professional degree","None","None","2012"
"951","Community and social service specialists, all other
 Show/hide Example Job Titles","21-1099",105.6,121.6,16,15.1,43.6,"41060.0","Master's degree","None","None","2012"
"952","Community health workers
 Show/hide Example Job Titles","21-1094",40.5,50.7,10.2,25.1,20.8,"34620.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"953","Compensation and benefits managers
 Show/hide Example Job Titles","442614.0",20.7,21.4,0.6,3.1,6.1,"95250.0","Bachelor's degree","5 years or more","None","2012"
"954","Compensation, benefits, and job analysis specialists
 Show/hide Example Job Titles","13-1141",91.7,97,5.3,5.8,22,"59090.0","Bachelor's degree","None","None","2012"
"955","Compliance officers
 Show/hide Example Job Titles","13-1041",239.8,250.8,11,4.6,55.3,"62020.0","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"956","Computer and information research scientists
 Show/hide Example Job Titles","15-1111",26.7,30.8,4.1,15.3,8.3,"102190.0","Doctoral or professional degree","None","None","2012"
"957","Computer and information systems managers
 Show/hide Example Job Titles","409743.0",332.7,383.6,50.9,15.3,97.1,"120950.0","Bachelor's degree","5 years or more","None","2012"
"958","Computer hardware engineers
 Show/hide Example Job Titles","17-2061",83.3,89.4,6.2,7.4,24.1,"100920.0","Bachelor's degree","None","None","2012"
"959","Computer network architects
 Show/hide Example Job Titles","15-1143",143.4,164.3,20.9,14.6,43.5,"91000.0","Bachelor's degree","5 years or more","None","2012"
"960","Computer network support specialists
 Show/hide Example Job Titles","15-1152",174.6,186.8,12.1,6.9,39.6,"59090.0","Associate's degree","None","None","2012"
"961","Computer numerically controlled machine tool programmers, metal and plastic
 Show/hide Example Job Titles","51-4012",24.3,31,6.7,27.6,13.5,"45920.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"962","Computer occupations, all other
 Show/hide Example Job Titles","15-1199",205.8,213.6,7.8,3.8,40.2,"81140.0","Bachelor's degree","None","None","2012"
"963","Computer operators
 Show/hide Example Job Titles","43-9011",74.6,62,-12.7,-17,7.2,"38390.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"964","Computer programmers
 Show/hide Example Job Titles","15-1131",343.7,372.1,28.4,8.3,118.1,"74280.0","Bachelor's degree","None","None","2012"
"965","Computer science teachers, postsecondary
 Show/hide Example Job Titles","25-1021",41.7,47,5.3,12.7,11.6,"72200.0","Doctoral or professional degree","None","None","2012"
"966","Computer systems analysts
 Show/hide Example Job Titles","15-1121",520.6,648.4,127.7,24.5,209.6,"79680.0","Bachelor's degree","None","None","2012"
"967","Computer user support specialists
 Show/hide Example Job Titles","15-1151",547.7,658.5,110.8,20.2,196.9,"46420.0","Some college, no degree","None","Moderate-term on-the-job training","2012"
"968","Computer, automated teller, and office machine repairers
 Show/hide Example Job Titles","49-2011",133.1,138.2,5.1,3.8,32.8,"36620.0","Some college, no degree","None","None","2012"
"969","Computer-controlled machine tool operators, metal and plastic
 Show/hide Example Job Titles","51-4011",140.3,160.7,20.4,14.5,59.6,"35580.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"970","Concierges
 Show/hide Example Job Titles","39-6012",26.3,32.4,6.1,23.4,12.7,"27250.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"971","Conservation scientists
 Show/hide Example Job Titles","19-1031",22.1,22.3,0.1,0.5,6.6,"61100.0","Bachelor's degree","None","None","2012"
"972","Construction and building inspectors
 Show/hide Example Job Titles","47-4011",102.3,114.8,12.5,12.2,36.7,"53450.0","High school diploma or equivalent","5 years or more","Moderate-term on-the-job training","2012"
"973","Construction and related workers, all other
 Show/hide Example Job Titles","47-4099",36.1,40.9,4.8,13.4,11.4,"34990.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"974","Construction laborers
 Show/hide Example Job Titles","47-2061",1071.1,1331,259.8,24.3,489.1,"29990.0","Less than high school","None","Short-term on-the-job training","2012"
"975","Construction managers
 Show/hide Example Job Titles","2601198.0",485,563.2,78.2,16.1,154.6,"82790.0","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"976","Continuous mining machine operators
 Show/hide Example Job Titles","47-5041",14.3,14.3,-0.1,-0.6,2.6,"51950.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"977","Control and valve installers and repairers, except mechanical door
 Show/hide Example Job Titles","49-9012",41,40.8,-0.2,-0.5,13.8,"50960.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"978","Conveyor operators and tenders
 Show/hide Example Job Titles","53-7011",39.1,40.5,1.3,3.4,12.4,"29610.0","Less than high school","None","Short-term on-the-job training","2012"
"979","Cooks, all other
 Show/hide Example Job Titles","35-2019",25.5,28.7,3.2,12.7,8.3,"23250.0","Less than high school","None","Moderate-term on-the-job training","2012"
"980","Cooks, fast food
 Show/hide Example Job Titles","35-2011",516.9,514.4,-2.5,-0.5,101.9,"18410.0","Less than high school","None","Short-term on-the-job training","2012"
"981","Cooks, institution and cafeteria
 Show/hide Example Job Titles","35-2012",408.9,462.8,54,13.2,134.6,"22860.0","Less than high school","None","Short-term on-the-job training","2012"
"982","Cooks, private household
 Show/hide Example Job Titles","35-2013",7,6.9,-0.1,-0.8,1.4,"23470.0","Postsecondary non-degree award","Less than 5 years","None","2012"
"983","Cooks, restaurant
 Show/hide Example Job Titles","35-2014",1024.1,1174.2,150.1,14.7,352.1,"22030.0","Less than high school","Less than 5 years","Moderate-term on-the-job training","2012"
"984","Cooks, short order
 Show/hide Example Job Titles","35-2015",166.1,166.6,0.5,0.3,33.3,"19730.0","Less than high school","None","Short-term on-the-job training","2012"
