"","employment","Total","median","code","year","code2","degrees","number","edu"
"843","Insurance claims and policy processing clerks",246,"41.7","43-9041","2010","43-904","high.school",68.88,"hs-"
"844","Mail clerks and mail machine operators, except postal service",93,"43.7","43-9051","2010","43-905","high.school",38.13,"hs-"
"845","Office clerks, general",1061,"42.2","43-9061","2010","43-906","high.school",331.03,"hs-"
"846","Office machine operators, except computer",45,"–","43-9071","2010","43-907","high.school",17.19,"hs-"
"847","Proofreaders and copy markers",7,"–","43-9081","2010","43-908","high.school",1.08,"hs-"
"848","Statistical assistants",18,"–","43-9111","2010","43-911","high.school",3.53,"hs-"
"849","First-line supervisors of farming, fishing, and forestry workers",52,"51.8","45-1011","2010","45-101","high.school",15.7,"hs-"
"850","Agricultural inspectors",22,"–","45-2011","2010","45-201","high.school",4.49,"hs-"
"851","Graders and sorters, agricultural products",95,"43.1","45-2041","2010","45-204","high.school",24.04,"hs-"
"852","Forest and conservation workers",14,"–","45-4011","2010","45-401","high.school",4.31,"hs-"
"853","First-line supervisors of construction trades and extraction workers",634,"45.2","47-1011","2010","47-101","high.school",270.08,"hs-"
"854","Boilermakers",19,"–","47-2011","2010","47-201","high.school",9.77,"hs-"
"855","Carpenters",1330,"41.4","47-2031","2010","47-203","high.school",574.56,"hs-"
"856","Construction laborers",1253,"36.9","47-2061","2010","47-206","high.school",508.72,"hs-"
"857","Paving, surfacing, and tamping equipment operators",21,"–","47-2071","2010","47-207","high.school",9.05,"hs-"
"858","Electricians",682,"41.5","47-2111","2010","47-211","high.school",269.39,"hs-"
"859","Glaziers",48,"–","47-2121","2010","47-212","high.school",22.18,"hs-"
"860","Plasterers and stucco masons",24,"–","47-2161","2010","47-216","high.school",7.99,"hs-"
"861","Roofers",222,"34.200000000000003","47-2181","2010","47-218","high.school",81.92,"hs-"
"862","Sheet metal workers",126,"40","47-2211","2010","47-221","high.school",59.6,"hs-"
"863","Structural iron and steel workers",66,"38.5","47-2221","2010","47-222","high.school",31.22,"hs-"
"864","Construction and building inspectors",75,"50.7","47-4011","2010","47-401","high.school",19.8,"hs-"
"865","Elevator installers and repairers",30,"–","47-4021","2010","47-402","high.school",13.86,"hs-"
"866","Fence erectors",45,"–","47-4031","2010","47-403","high.school",16.47,"hs-"
"867","Hazardous materials removal workers",32,"–","47-4041","2010","47-404","high.school",11.74,"hs-"
"868","Highway maintenance workers",105,"45.3","47-4051","2010","47-405","high.school",57.54,"hs-"
"869","Rail-track laying and maintenance equipment operators",7,"–","47-4061","2010","47-406","high.school",3.7,"hs-"
"870","Earth drillers, except oil and gas",23,"–","47-5021","2010","47-502","high.school",11.55,"hs-"
"871","Explosives workers, ordnance handling experts, and blasters",9,"–","47-5031","2010","47-503","high.school",3.73,"hs-"
"872","First-line supervisors of mechanics, installers, and repairers",313,"49.7","49-1011","2010","49-101","high.school",112.05,"hs-"
"873","Computer, automated teller, and office machine repairers",305,"40.6","49-2011","2010","49-201","high.school",58.26,"hs-"
"874","Avionics technicians",16,"–","49-2091","2010","49-209","high.school",4.18,"hs-"
"875","Aircraft mechanics and service technicians",164,"44","49-3011","2010","49-301","high.school",45.26,"hs-"
"876","Automotive body and related repairers",140,"41.1","49-3021","2010","49-302","high.school",72.38,"hs-"
"877","Bus and truck mechanics and diesel engine specialists",312,"42.4","49-3031","2010","49-303","high.school",152.57,"hs-"
"878","Heating, air conditioning, and refrigeration mechanics and installers",338,"39.4","49-9021","2010","49-902","high.school",143.99,"hs-"
"879","Home appliance repairers",43,"–","49-9031","2010","49-903","high.school",19.35,"hs-"
"880","Electrical power-line installers and repairers",124,"40.6","49-9051","2010","49-905","high.school",55.68,"hs-"
"881","Maintenance and repair workers, general",422,"48.4","49-9071","2010","49-907","high.school",185.68,"hs-"
"882","Coin, vending, and amusement machine servicers and repairers",46,"–","49-9091","2010","49-909","high.school",19.87,"hs-"
"883","First-line supervisors of production and operating workers",727,"47.1","51-1011","2010","51-101","high.school",284.26,"hs-"
"884","Aircraft structure, surfaces, rigging, and systems assemblers",20,"–","51-2011","2010","51-201","high.school",9.02,"hs-"
"885","Engine and other machine assemblers",34,"–","51-2031","2010","51-203","high.school",16.42,"hs-"
"886","Structural metal fabricators and fitters",32,"–","51-2041","2010","51-204","high.school",15.94,"hs-"
"887","Bakers",207,"40.299999999999997","51-3011","2010","51-301","high.school",81.97,"hs-"
"888","Food and tobacco roasting, baking, and drying machine operators and tenders",12,"–","51-3091","2010","51-309","high.school",5.5,"hs-"
"889","Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,"–","51-4021","2010","51-402","high.school",6.51,"hs-"
"890","Machinists",419,"45.6","51-4041","2010","51-404","high.school",193.16,"hs-"
"891","Tool and die makers",66,"51","51-4111","2010","51-411","high.school",27.92,"hs-"
"892","Prepress technicians and workers",41,"–","51-5111","2010","51-511","high.school",13.41,"hs-"
"893","Laundry and dry-cleaning workers",174,"44.6","51-6011","2010","51-601","high.school",70.3,"hs-"
"894","Pressers, textile, garment, and related materials",48,"–","51-6021","2010","51-602","high.school",17.76,"hs-"
"895","Sewing machine operators",169,"48","51-6031","2010","51-603","high.school",63.71,"hs-"
"896","Cabinetmakers and bench carpenters",66,"47.1","51-7011","2010","51-701","high.school",31.02,"hs-"
"897","Furniture finishers",17,"–","51-7021","2010","51-702","high.school",6.65,"hs-"
"898","Sawing machine setters, operators, and tenders, wood",32,"–","51-7041","2010","51-704","high.school",14.14,"hs-"
"899","Stationary engineers and boiler operators",95,"51.5","51-8021","2010","51-802","high.school",36.77,"hs-"
"900","Water and wastewater treatment plant and system operators",71,"48.4","51-8031","2010","51-803","high.school",27.62,"hs-"
"901","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,"–","51-9041","2010","51-904","high.school",17.24,"hs-"
"902","Furnace, kiln, oven, drier, and kettle operators and tenders",11,"–","51-9051","2010","51-905","high.school",5.65,"hs-"
"903","Inspectors, testers, sorters, samplers, and weighers",647,"43.6","51-9061","2010","51-906","high.school",243.27,"hs-"
"904","Jewelers and precious stone and metal workers",41,"–","51-9071","2010","51-907","high.school",12.46,"hs-"
"905","Packaging and filling machine operators and tenders",288,"39.1","51-9111","2010","51-911","high.school",124.42,"hs-"
"906","Photographic process workers and processing machine operators",43,"–","51-9151","2010","51-915","high.school",12.21,"hs-"
"907","Adhesive bonding machine operators and tenders",9,"–","51-9191","2010","51-919","high.school",4.36,"hs-"
"908","Flight attendants",88,"45.5","53-2031","2010","53-203","high.school",13.99,"hs-"
"909","Ambulance drivers and attendants, except emergency medical technicians",13,"–","53-3011","2010","53-301","high.school",5.2,"hs-"
"910","Taxi drivers and chauffeurs",342,"48.8","53-3041","2010","53-304","high.school",127.22,"hs-"
"911","Motor vehicle operators, all other",62,"51.8","53-3099","2010","53-309","high.school",24.8,"hs-"
"912","Railroad conductors and yardmasters",52,"43.7","53-4031","2010","53-403","high.school",20.9,"hs-"
"913","Parking lot attendants",73,"32.6","53-6021","2010","53-602","high.school",25.7,"hs-"
"914","Automotive and watercraft service attendants",76,"30.1","53-6031","2010","53-603","high.school",35.57,"hs-"
"915","Transportation inspectors",32,"–","53-6051","2010","53-605","high.school",11.07,"hs-"
"916","Transportation attendants, except flight attendants",32,"–","53-6061","2010","53-606","high.school",13.22,"hs-"
"917","Crane and tower operators",63,"42.7","53-7021","2010","53-702","high.school",34.59,"hs-"
"918","Industrial truck and tractor operators",528,"39.799999999999997","53-7051","2010","53-705","high.school",270.86,"hs-"
"919","Cleaners of vehicles and equipment",331,"32.700000000000003","53-7061","2010","53-706","high.school",139.35,"hs-"
"920","Refuse and recyclable material collectors",92,"41.3","53-7081","2010","53-708","high.school",41.58,"hs-"
"921","Accountants and auditors",1789.5,"43.2","13-2011","2012","13-201","high.school",75.16,"hs-"
"922","Actors",41.5,"–","27-2011","2012","27-201","high.school",4.77,"hs-"
"923","Actuaries",27,"–","15-2011","2012","15-201","high.school",0,"hs-"
"924","Adhesive bonding machine operators and tenders",10.5,"–","51-9191","2012","51-919","high.school",6.27,"hs-"
"925","Advertising sales agents",234,"39.299999999999997","41-3011","2012","41-301","high.school",26.68,"hs-"
"926","Aerospace engineers",131.5,"45.1","17-2011","2012","17-201","high.school",3.02,"hs-"
"927","Agents and business managers of artists, performers, and athletes",53,"37","13-1011","2012","13-101","high.school",4.93,"hs-"
"928","Agricultural and food science technicians",30,"–","19-4011","2012","19-401","high.school",8.7,"hs-"
"929","Agricultural inspectors",14,"–","45-2011","2012","45-201","high.school",3.71,"hs-"
"930","Aircraft mechanics and service technicians",157.5,"47.5","49-3011","2012","49-301","high.school",42.84,"hs-"
"931","Aircraft structure, surfaces, rigging, and systems assemblers",18.5,"–","51-2011","2012","51-201","high.school",7.03,"hs-"
"932","Ambulance drivers and attendants, except emergency medical technicians",18.5,"–","53-3011","2012","53-301","high.school",7.7,"hs-"
"933","Animal control workers",11,"–","33-9011","2012","33-901","high.school",4.15,"hs-"
"934","Animal trainers",40,"–","39-2011","2012","39-201","high.school",11.2,"hs-"
"935","Appraisers and assessors of real estate",95.5,"49.9","13-2021","2012","13-202","high.school",11.17,"hs-"
"936","Atmospheric and space scientists",14.5,"–","19-2021","2012","19-202","high.school",0,"hs-"
"937","Audiologists",15,"–","29-1181","2012","29-118","high.school",0.4,"hs-"
"938","Automotive and watercraft service attendants",93,"27.3","53-6031","2012","53-603","high.school",39.8,"hs-"
"939","Automotive body and related repairers",154,"43.2","49-3021","2012","49-302","high.school",77.77,"hs-"
"940","Avionics technicians",12,"–","49-2091","2012","49-209","high.school",2.36,"hs-"
"941","Bakers",203,"39.1","51-3011","2012","51-301","high.school",74.5,"hs-"
"942","Barbers",118,"41.2","39-5011","2012","39-501","high.school",57.47,"hs-"
"943","Bartenders",414.5,"31.3","35-3011","2012","35-301","high.school",115.23,"hs-"
"944","Bill and account collectors",191.5,"39.4","43-3011","2012","43-301","high.school",54.19,"hs-"
"945","Billing and posting clerks",486,"44","43-3021","2012","43-302","high.school",144.83,"hs-"
"946","Biological technicians",20,"–","19-4021","2012","19-402","high.school",3.42,"hs-"
"947","Boilermakers",20.5,"–","47-2011","2012","47-201","high.school",10,"hs-"
"948","Bookkeeping, accounting, and auditing clerks",1254.5,"50","43-3031","2012","43-303","high.school",358.79,"hs-"
"949","Brokerage clerks",3.5,"–","43-4011","2012","43-401","high.school",0.82,"hs-"
"950","Budget analysts",58.5,"43.8","13-2031","2012","13-203","high.school",2.34,"hs-"
"951","Bus and truck mechanics and diesel engine specialists",316,"41.7","49-3031","2012","49-303","high.school",149.15,"hs-"
"952","Business operations specialists, all other",223,"43.7","13-1199","2012","13-119","high.school",22.52,"hs-"
"953","Buyers and purchasing agents, farm products",13.5,"–","13-1021","2012","13-102","high.school",3.87,"hs-"
"954","Cabinetmakers and bench carpenters",46,"–","51-7011","2012","51-701","high.school",22.59,"hs-"
"955","Cargo and freight agents",26.5,"–","43-5011","2012","43-501","high.school",6.55,"hs-"
"956","Carpenters",1193.5,"42.2","47-2031","2012","47-203","high.school",514.4,"hs-"
"957","Chefs and head cooks",414,"38.5","35-1011","2012","35-101","high.school",120.89,"hs-"
"958","Chemical engineers",66,"44.7","17-2041","2012","17-204","high.school",2.51,"hs-"
"959","Chemical technicians",65.5,"45.3","19-4031","2012","19-403","high.school",14.87,"hs-"
"960","Childcare workers",1272,"37.700000000000003","39-9011","2012","39-901","high.school",409.58,"hs-"
"961","Chiropractors",58,"44.4","29-1011","2012","29-101","high.school",0.52,"hs-"
"962","Civil engineers",359,"43.6","17-2051","2012","17-205","high.school",8.26,"hs-"
"963","Cleaners of vehicles and equipment",331.5,"31.1","53-7061","2012","53-706","high.school",140.22,"hs-"
"964","Clergy",409,"51.8","21-2011","2012","21-201","high.school",27.81,"hs-"
"965","Coin, vending, and amusement machine servicers and repairers",36.5,"–","49-9091","2012","49-909","high.school",14.64,"hs-"
"966","Combined food preparation and serving workers, including fast food",360,"27.6","35-3021","2012","35-302","high.school",158.04,"hs-"
"967","Communications equipment operators, all other",6,"–","43-2099","2012","43-209","high.school",1.34,"hs-"
"968","Compensation, benefits, and job analysis specialists",77,"43.6","13-1141","2012","13-114","high.school",8.62,"hs-"
"969","Compliance officers",197,"48","13-1041","2012","13-104","high.school",19.31,"hs-"
"970","Computer and information research scientists",23.5,"–","15-1111","2012","15-111","high.school",0.26,"hs-"
"971","Computer hardware engineers",90.5,"41.7","17-2061","2012","17-206","high.school",4.8,"hs-"
"972","Computer occupations, all other",375.5,"41.5","15-1199","2012","15-119","high.school",30.42,"hs-"
"973","Computer operators",98.5,"47.2","43-9011","2012","43-901","high.school",21.18,"hs-"
"974","Computer programmers",484.5,"42.8","15-1131","2012","15-113","high.school",22.77,"hs-"
"975","Computer systems analysts",516.5,"41.6","15-1121","2012","15-112","high.school",21.18,"hs-"
"976","Computer, automated teller, and office machine repairers",290.5,"42","49-2011","2012","49-201","high.school",52,"hs-"
"977","Construction and building inspectors",109.5,"53.3","47-4011","2012","47-401","high.school",28.47,"hs-"
"978","Construction laborers",1461.5,"38.799999999999997","47-2061","2012","47-206","high.school",599.22,"hs-"
"979","Cost estimators",118.5,"46.7","13-1051","2012","13-105","high.school",27.25,"hs-"
"980","Counter and rental clerks",120,"44.1","41-2021","2012","41-202","high.school",45.24,"hs-"
"981","Couriers and messengers",205.5,"46.1","43-5021","2012","43-502","high.school",75.62,"hs-"
"982","Court, municipal, and license clerks",83,"48.4","43-4031","2012","43-403","high.school",23.57,"hs-"
"983","Crane and tower operators",67,"45.1","53-7021","2012","53-702","high.school",36.11,"hs-"
"984","Credit analysts",30,"–","13-2041","2012","13-204","high.school",2.97,"hs-"
"985","Credit authorizers, checkers, and clerks",41.5,"–","43-4041","2012","43-404","high.school",11.37,"hs-"
"986","Crossing guards",61,"50.2","33-9091","2012","33-909","high.school",25.74,"hs-"
"987","Customer service representatives",2012.5,"36.700000000000003","43-4051","2012","43-405","high.school",543.38,"hs-"
